id,sektor,slug,baslik,dosya_yolu,durum
60,eticaret,iade-politikasi-yasal-uyum-motoru,İade Politikası Yasal Uyum Motoru,eticaret/iade-politikasi-yasal-uyum-motoru.md,todo
61,perakende,urun-guvenligi-ce-isareti-dogrulama,Ürün Güvenliği CE İşareti Doğrulama,perakende/urun-guvenligi-ce-isareti-dogrulama.md,todo
62,perakende,fiyat-etiketi-tuketici-hukuku-uyumu,Fiyat Etiketi Tüketici Hukuku Uyumu,perakende/fiyat-etiketi-tuketici-hukuku-uyumu.md,todo
63,bankacilik,basel3-sermaye-yeterliligi-motoru,Basel III Sermaye Yeterliliği Motoru,bankacilik/basel3-sermaye-yeterliligi-motoru.md,todo
64,bankacilik,bddk-raporlama-format-dogrulama,BDDK Raporlama Format Doğrulama,bankacilik/bddk-raporlama-format-dogrulama.md,todo
65,bankacilik,faiz-ucret-mevzuat-uyum-kontrolu,Faiz/Ücret Mevzuat Uyum Kontrolü,bankacilik/faiz-ucret-mevzuat-uyum-kontrolu.md,todo
66,finans,vergi-beyannamesi-uyum-motoru,Vergi Beyannamesi Uyum Motoru,finans/vergi-beyannamesi-uyum-motoru.md,todo
67,finans,muhasebe-standartlari-tfrs-uyumu,Muhasebe Standartları TFRS Uyumu,finans/muhasebe-standartlari-tfrs-uyumu.md,todo
68,finans,halka-arz-prospektus-uyum-kontrolu,Halka Arz Prospektüs Uyum Kontrolü,finans/halka-arz-prospektus-uyum-kontrolu.md,todo
69,finans,kripto-varlik-mevzuat-uyum-motoru,Kripto Varlık Mevzuat Uyum Motoru,finans/kripto-varlik-mevzuat-uyum-motoru.md,todo
70,hukuk,mahkeme-dilekce-usul-uyumu,Mahkeme Dilekçesi Usul Uyumu,hukuk/mahkeme-dilekce-usul-uyumu.md,todo
71,hukuk,sozlesme-uyum-motoru,Sözleşme Uyum Motoru,hukuk/sozlesme-uyum-motoru.md,todo
72,hukuk,fikri-mulkiyet-basvuru-format-uyumu,Fikri Mülkiyet Başvuru Format Uyumu,hukuk/fikri-mulkiyet-basvuru-format-uyumu.md,todo
73,kamu,ihale-sartname-uygunluk-4734,Kamu İhale Şartname Uygunluk (4734),kamu/ihale-sartname-uygunluk-4734.md,todo
74,kamu,kamu-bilgi-guvenligi-direktif-uyumu,Kamu Bilgi Güvenliği Direktif Uyumu,kamu/kamu-bilgi-guvenligi-direktif-uyumu.md,todo
75,kamu,e-devlet-hizmet-erisim-uyum-kontrolu,e-Devlet Hizmet Erişim Uyum Kontrolü,kamu/e-devlet-hizmet-erisim-uyum-kontrolu.md,todo
76,akademi,klinik-arastirma-etik-kurul-kontrol,Klinik Araştırma Etik Kurul Kontrol,akademi/klinik-arastirma-etik-kurul-kontrol.md,todo
77,akademi,tubitak-hibe-basvuru-format-uyumu,TÜBİTAK Hibe Başvuru Format Uyumu,akademi/tubitak-hibe-basvuru-format-uyumu.md,todo
78,akademi,makale-intihal-akademik-norm-kontrolu,Makale İntihal Akademik Norm Kontrolü,akademi/makale-intihal-akademik-norm-kontrolu.md,todo
79,hukuk,arabuluculuk-surec-uyum-motoru,Arabuluculuk Süreç Uyum Motoru,hukuk/arabuluculuk-surec-uyum-motoru.md,todo
80,gayrimenkul,tapu-tescil-uygunluk-motoru,Tapu Tescil Uygunluk Motoru,gayrimenkul/tapu-tescil-uygunluk-motoru.md,todo
81,gayrimenkul,kira-artis-hukuki-limit-kontrolu,Kira Artış Hukuki Limit Kontrolü,gayrimenkul/kira-artis-hukuki-limit-kontrolu.md,todo
82,gayrimenkul,imar-plani-uygunluk-dogrulama,İmar Planı Uygunluk Doğrulama,gayrimenkul/imar-plani-uygunluk-dogrulama.md,todo
83,turizm,seyahat-vize-uygunluk-kontrolu,Seyahat Vize Uygunluk Kontrolü,turizm/seyahat-vize-uygunluk-kontrolu.md,todo
84,turizm,otel-guvenlik-sertifika-motoru,Otel Güvenlik Sertifika Motoru,turizm/otel-guvenlik-sertifika-motoru.md,todo
85,otomotiv,tip-onayi-homologasyon-kontrol-motoru,Tip Onayı Homologasyon Kontrol Motoru,otomotiv/tip-onayi-homologasyon-kontrol-motoru.md,todo
86,otomotiv,emisyon-test-protokol-uyumu,Emisyon Test Protokol Uyumu,otomotiv/emisyon-test-protokol-uyumu.md,todo
87,tekstil,kimyasal-icerik-reach-uyum-motoru,Kimyasal İçerik REACH Uyum Motoru,tekstil/kimyasal-icerik-reach-uyum-motoru.md,todo
88,sosyal-hizmetler,engelli-destekleme-hak-uygunluk,Engelli Destekleme Hak Uygunluk Kontrolü,sosyal-hizmetler/engelli-destekleme-hak-uygunluk.md,todo
89,spor,doping-analitik-esik-deger-kontrolu,Doping Analitik Eşik Değer Kontrolü,spor/doping-analitik-esik-deger-kontrolu.md,todo
90,spor,sporcu-transfer-sozlesme-fifa-uyumu,Sporcu Transfer Sözleşme FIFA Uyumu,spor/sporcu-transfer-sozlesme-fifa-uyumu.md,todo
91,savunma,ihracat-kontrol-dual-use-uyum,İhracat Kontrol Dual-Use Uyum Motoru,savunma/ihracat-kontrol-dual-use-uyum.md,todo
92,ulasim,surucu-calisma-saati-ab-direktifi,Sürücü Çalışma Saati AB Direktifi Uyumu,ulasim/surucu-calisma-saati-ab-direktifi.md,todo
93,ulasim,arac-bakim-interval-dogrulama,Araç Bakım Interval Doğrulama,ulasim/arac-bakim-interval-dogrulama.md,todo
94,denizcilik,port-state-control-kontrol-listesi,Port State Control Kontrol Listesi,denizcilik/port-state-control-kontrol-listesi.md,todo
95,havayolu,teknik-bakim-kayit-dogrulama,Teknik Bakım Kayıt Doğrulama,havayolu/teknik-bakim-kayit-dogrulama.md,todo
96,havayolu,kargo-guvenlik-protokol-kontrolu,Kargo Güvenlik Protokol Kontrolü,havayolu/kargo-guvenlik-protokol-kontrolu.md,todo
97,enerji,nukleer-lisans-uyum-motoru,Nükleer Lisans Uyum Motoru,enerji/nukleer-lisans-uyum-motoru.md,todo
98,meta,README,Ana README - Manifesto ve Repo Haritası,README.md,todo
99,meta,CONTRIBUTING,Katkı Rehberi,CONTRIBUTING.md,todo
100,meta,template,Yeni Sektör Şablonu,template.md,todo
